title,price,link,mrp,discount_percentage
"soundcore by Anker H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection (Black)","₹1,498",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjUxODIwOTM5Mzk1NjY2OjE3NTg1NDE1NDc6c3BfYXRmOjMwMDczMzU4NTMzMjMzMjo6MDo6&url=%2Fsoundcore-Headphones-Lightweight-Comfortable-Connectivity%2Fdp%2FB0CD1FHLMH%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758541546%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=nzY0bdBhO9&sp_cr=ZAZ,4499.0,66.7
"soundcore by Anker,Space One Active Noise Cancelling Bluetooth Over Ear Headphones with Travel Pouch,2X Stronger Voice Reduction,40H ANC Playtime,App Control,Ldac Hi-Res,Ergo Design for Comfort Fit","₹5,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjUxODIwOTM5Mzk1NjY2OjE3NTg1NDE1NDc6c3BfYXRmOjMwMDcxODg3MTk1NjEzMjo6MDo6&url=%2Fsoundcore-Cancelling-Bluetooth-Headphones-Reduction%2Fdp%2FB0C6KFZC9Z%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk%26dib_tag%3Dse%26keywords%3Dheadphones%26qid%3D1758541546%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=btyRxSC3We&sp_cr=ZAZ,19998.0,70.0
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)","₹1,099",https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2Y8XYF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-3,2999.0,63.35
Boat BassHeads 100 in-Ear Headphones with Mic (Black),₹349,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-4,999.0,65.07
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","₹1,199",https://www.amazon.in/boAt-Rockerz-Technology-Integrated-Headphones/dp/B0F7LY85KB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-5,2490.0,51.85
"pTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic, Low-Latency Game/Movie/Music Modes, Punchy Bass, BT5.3, Dual Device Pairing, Voice Assistant & Type-C Fast Charging (Black)",₹699,https://www.amazon.in/pTron-Studio-Headphones-Low-Latency-Assistant/dp/B0DQ212KP4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-6,3199.0,78.15
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","₹1,999",https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-7,4449.0,55.07
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","₹1,299",https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Isolation/dp/B0856HY85J/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-8,4999.0,74.01
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Active Black)",₹699,https://www.amazon.in/boAt-Rockerz-Playback-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-9,2490.0,71.93
"boAt Rockerz 425, ENx Tech, ASAP Charge, 25H Battery, Dual Pair, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Ash Grey)","₹1,099",https://www.amazon.in/Rockerz-425-Bluetooth-Headphones-Signature/dp/B09QL3K2GD/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQTZyjqWXxGhRNS2hL4Z8gOIqK8GYPvWO4g0yMTyjERhDxhRgllugZ9FSf2C9iTUo4P5Hz3o4cyxo7F6i6bMG-oJ-j8pfCpLoXvBl8LRuKB4kUAuPA-hS4p6ZVsdk1Y2yDaJ90ih3TRz9q_FYK4-8-Z2rQSr4MZRTCIHkPtV6NuRC13zUK2Z9UFNPoyt4s9OFVOabSecqjfT3xlNC0_HhDzE.5MvZeZFeaf9wFXupQ3ruK4c_s-ZuRa8bfoPIWz2StDk&dib_tag=se&keywords=headphones&qid=1758541546&sr=8-10,2999.0,63.35
